Time,Acel X,Acel Y,Acel z,Gyro X,Gyro Y,Gyro Z
1661111680.353435,-10704,656,6392,-437,436,3489
1661111680.464035,-15748,-2212,8184,1517,-250,2908
1661111680.574365,-14668,-3484,7024,1227,-2468,714
1661111680.689257,-14708,-3580,7280,831,-2284,188
1661111680.79988,-14100,-3456,8244,1811,-2759,263
1661111680.910683,-14440,-3440,8368,893,-904,187
1661111681.020895,-12936,-2780,8828,1832,-3013,-601
1661111681.132031,-13464,-3000,9148,824,-662,104
1661111681.241794,-13768,-2748,9572,639,-856,121
1661111681.352815,-13604,-2624,9992,887,-1168,62
1661111681.467185,-13640,-2668,10148,1156,-1803,-82
1661111681.581866,-13260,-2384,11260,2540,-4917,523
1661111681.692464,-14336,-1076,12096,2988,-4723,829
1661111681.798993,-11184,-832,12956,1165,-1355,561
1661111681.913951,-11376,-708,13056,1157,-1073,826
1661111682.02486,-10572,180,13784,1835,-1547,1107
1661111682.139384,-10792,204,13660,1047,-932,632
1661111682.249809,-10536,652,13836,373,151,-155
1661111682.360357,-10568,640,13648,670,-266,130
1661111682.474766,-9688,1068,13184,2032,3572,1135
1661111682.581295,-12744,808,12604,503,5890,247
1661111682.696415,-12552,1572,12276,1057,1113,806
1661111682.806753,-12868,1444,11636,435,1506,177
1661111682.917344,-12744,1944,11264,1205,2261,1367
1661111683.027735,-12388,3372,9944,1627,8011,9229
1661111683.13875,-13504,5092,8688,2475,6234,6646
1661111683.244799,-13640,6612,7272,2191,4361,4587
1661111683.355325,-13432,7392,6316,1140,1679,2583
1661111683.465879,-14804,7356,6172,597,1505,1790
1661111683.576523,-13128,8436,6044,1388,-1272,2188
1661111683.68717,-11908,9316,6036,2113,-360,3949
1661111683.801772,-10600,10904,6180,2631,-1915,6331
1661111683.91233,-10676,11544,5728,2003,-321,4782
1661111684.027101,-9816,12220,5840,979,-169,2118
1661111684.133578,-8888,12524,5752,612,65,1087
1661111684.244066,-8680,12960,5952,894,-1101,3361
1661111684.35464,-8396,13292,5924,769,-2331,4301
1661111684.469656,-7680,13744,5892,1081,-1327,3069
1661111684.579825,-6120,14204,5840,603,-3007,4869
1661111684.686336,-5472,14664,5944,1282,-744,2598
1661111684.79731,-4828,15016,5848,572,-789,1280
1661111684.90775,-3828,11688,6448,2907,179,3005
1661111685.022266,-4552,14940,5688,710,-2252,606
1661111685.133279,-3392,15376,5672,60,-3646,2901
1661111685.239781,-2900,15448,5808,656,-3048,2785
1661111685.350129,-2088,15788,5884,489,-1404,1473
1661111685.460971,-1432,15792,5656,782,-1812,1088
1661111685.571121,-1184,15976,5696,-494,-1482,362
1661111685.686092,-1288,15620,5856,932,-2010,1216
1661111685.792286,-724,16128,5072,1091,-2261,2371
1661111685.907143,1348,16216,5216,2059,-3345,4257
1661111686.01362,1300,16288,4544,1286,-3524,4737
1661111686.12408,2876,15936,4152,1477,-4063,2939
1661111686.230516,3912,15972,3768,1607,-5918,2929
1661111686.341613,4956,15584,2620,1100,-6219,3018
1661111686.451846,5724,15544,2288,229,-2688,1118
1661111686.562294,6076,15412,1968,7,-2657,820
1661111686.673132,6264,15600,1844,407,-2613,864
1661111686.787767,5836,15160,1692,120,-4470,658
1661111686.894167,6096,15480,1516,-673,1865,-1109
1661111687.009041,5844,15732,2520,-5336,13945,-7582
1661111687.119556,4896,16256,3640,-2535,4923,-4988
1661111687.234203,2056,16100,5324,-4454,6394,-7741
1661111687.340799,-464,15680,6264,-4819,3421,-8023
1661111687.455262,-2528,15128,7532,-4514,2451,-6444
1661111687.566068,-3260,14568,7960,-2748,3049,-3662
1661111687.680491,-4924,14300,8560,-2721,171,-4376
1661111687.78705,-5060,13724,8608,-2468,1329,-2311
1661111687.897629,-6216,13132,9544,-2565,1586,-2811
1661111688.012311,-6668,12228,9480,-1508,931,-753
1661111688.118809,-6396,12528,10176,-578,-155,568
1661111688.233758,-6432,12540,10292,-703,-567,-247
1661111688.343992,-5412,12272,10440,-1969,-4209,974
1661111688.450678,-4968,11632,11040,-2266,-1374,426
1661111688.561241,-5568,11440,12008,-2421,-1514,-689
1661111688.671811,-4880,10864,12376,-2099,-2659,-237
1661111688.78231,-4648,10576,12988,-1418,-1985,220
1661111688.892976,-3508,10180,13036,-2188,-3257,498
1661111689.003459,-3352,9880,14004,-1579,-3156,115
1661111689.118325,-3496,9628,14680,-1584,-5350,149
1661111689.22483,-2960,9152,15044,-1615,-4002,26
1661111689.339358,-1380,9212,15556,-879,-2535,447
1661111689.450101,288,8668,15508,-338,-5393,2151
1661111689.560815,1640,8756,15208,-128,-4959,481
1661111689.671382,2272,8900,15696,-202,-4183,76
1661111689.78189,2820,8684,15388,-278,-4975,-511
1661111689.892199,3412,8268,14988,-388,-5082,-598
1661111690.007063,5616,8436,14908,-1093,-8450,-1491
1661111690.117576,7420,8608,13652,22,-5080,-829
1661111690.224158,7484,8168,13592,833,-3114,237
1661111690.334576,7952,8408,13500,87,-2888,285
1661111690.445476,7692,7792,11276,1305,-7589,-499
1661111690.559704,10952,8688,11368,-154,-2801,655
1661111690.670543,10752,8748,11340,-99,-2807,-350
1661111690.77709,10556,8776,10960,-38,-2246,-245
1661111690.891679,10796,8600,10664,216,-2491,-251
1661111691.002615,11284,8688,10176,115,-960,125
1661111691.108638,11056,8576,10192,2,-1425,-151
1661111691.219174,11880,8704,9600,83,-983,-66
